Key;Item Id;Item Type;Type;RU;EN;DE;ES
Item_Bread_Edible_Name;Bread;Edible;Name;Хлеб;Bread;Brot;Pan
Item_Bread_Edible_Description;Bread;Edible;Description;Тёплый, хрустящий хлеб. Идеально подходит для утреннего перекуса или долгого похода.;Warm and crusty bread. Perfect for a morning snack or a long journey.;Warmes, knuspriges Brot. Perfekt für den Morgensnack oder eine lange Wanderung.;Pan calentito y crujiente. Perfecto para merendar o para una larga caminata.
Item_Flower_Edible_Name;Flower;Edible;Name;Цветок;Flower;Blume;Flor
Item_Flower_Edible_Description;Flower;Edible;Description;Яркий и ароматный полевой цветок. Может быть подарком или украшением.;A bright, fragrant wildflower. Makes a lovely gift or decoration.;Eine leuchtende und duftende Wildblume. Kann als Geschenk oder Dekoration verwendet werden.;Una flor silvestre brillante y fragante. Ideal como regalo o decoración.
Item_HealthPotion_Edible_Name;HealthPotion;Edible;Name;Зелье здоровья;Health potion;Heiltrank;Poción de salud
Item_HealthPotion_Edible_Description;HealthPotion;Edible;Description;Пузырёк с целебной жидкостью. Восстанавливает силы после тяжёлого дня.;A vial of healing liquid. Restores energy after a hard day's work.;Eine Phiole mit heilender Flüssigkeit. Gibt nach einem anstrengenden Tag neue Kraft.;Un frasco de líquido curativo. Recupera las fuerzas después de un día duro.
Item_Boots_Equipable_Name;Boots;Equipable;Name;Сапоги;Boots;Stiefel;Botas
Item_Boots_Equipable_Description;Boots;Equipable;Description;Прочные и удобные сапоги. Отличный выбор для фермеров и путешественников.;Sturdy and comfortable boots. A great fit for farmers and adventurers.;Strapazierfähige und bequeme Stiefel. Eine großartige Wahl für Landwirte und Reisende.;Botas resistentes y cómodas. Una excelente opción para agricultores y viajeros.
Item_Hat_Equipable_Name;Hat;Equipable;Name;Шляпа;Hat;Hut;Sombrero
Item_Hat_Equipable_Description;Hat;Equipable;Description;Лёгкая шляпа, защищающая от солнца. И стильно, и полезно.;A light hat that shields from the sun. Fashionable and functional.;Ein leichter Hut, der vor der Sonne schützt. Stilvoll und praktisch zugleich.;Un sombrero ligero que protege del sol. Elegante y práctico.
Item_Pants_Equipable_Name;Pants;Equipable;Name;Штаны;Pants;Hose;Pantalones
Item_Pants_Equipable_Description;Pants;Equipable;Description;Простые рабочие штаны. Долговечны и не боятся грязи.;Simple work pants. Durable and dirt-resistant.;Einfache Arbeitshose. Strapazierfähig und schmutzabweisend.;Pantalones de trabajo sencillos. Resistentes y resistentes a la suciedad.
Item_Wood_Resource_Name;Wood;Resource;Name;Бревно;Wood;Protokoll;Registro
Item_Wood_Resource_Description;Wood;Resource;Description;Свежесрубленное бревно. Подходит для обработки и строительства.;Freshly cut log. Useful for crafting and building.;Frisch geschnittener Stamm. Geeignet für die Verarbeitung und den Bau.;Tronco recién cortado. Apto para procesamiento y construcción.
Item_WoodBoard_Resource_Name;WoodBoard;Resource;Name;Доска;Wood board;Planke;Junta
Item_WoodBoard_Resource_Description;WoodBoard;Resource;Description;Гладкая деревянная доска. Часто используется для ремонта и мебели.;A smooth wooden board. Often used for repairs and furniture.;Glattes Holzbrett. Wird oft für Reparaturen und Möbel verwendet.;Tabla de madera lisa. Se utiliza a menudo para reparaciones y muebles.
Item_Stone_Resource_Name;Stone;Resource;Name;Камень;Stone;Stein;Piedra
Item_Stone_Resource_Description;Stone;Resource;Description;Обычный камень, найденный в горах или у реки. Основа для многих построек.;A common stone found near mountains or rivers. Essential for construction.;Ein gewöhnlicher Stein, der in den Bergen oder an Flüssen vorkommt. Die Grundlage für viele Gebäude.;Una piedra común que se encuentra en las montañas o junto a los ríos. Es la base de muchos edificios.
Item_StoneBlock_Resource_Name;StoneBlock;Resource;Name;Каменный блок;Stone block;Steinblock;Bloque de piedra
Item_StoneBlock_Resource_Description;StoneBlock;Resource;Description;Обработанный камень, готовый к строительству. Прочный и тяжёлый.;Refined stone ready for building. Solid and heavy.;Bearbeiteter Stein, baufertig. Langlebig und schwer.;Piedra procesada, lista para la construcción. Duradera y resistente.
Item_Axe_Tool_Name;Axe;Tool;Name;Топор;Axe;Axt;Hacha
Item_Axe_Tool_Description;Axe;Tool;Description;Надёжный топор для рубки деревьев и кустарника.;A trusty axe for chopping trees and clearing brush.;Eine zuverlässige Axt zum Fällen von Bäumen und Sträuchern.;Un hacha confiable para cortar árboles y arbustos.
Item_Pickaxe_Tool_Name;Pickaxe;Tool;Name;Кирка;Pickaxe;Wählen;Elegir
Item_Pickaxe_Tool_Description;Pickaxe;Tool;Description;Прочная кирка для добычи камня и руды. Любимый инструмент шахтёров.;A durable pickaxe for mining stone and ore. A miner’s best friend.;Eine robuste Spitzhacke zum Abbau von Steinen und Erzen. Ein beliebtes Werkzeug der Bergleute.;Un pico robusto para extraer piedra y mineral. Una herramienta predilecta de los mineros.
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
Item_Name;;;Name;;;#VALUE!;#VALUE!
Item_Description;;;Description;;;#VALUE!;#VALUE!
