Key;Item Id;Item Type;Type;EN;RU;KR;DE
Item_Bread_Edible_Name;Bread;Edible;Name;Bread;Хлеб;;Brot
Item_Bread_Edible_Description;Bread;Edible;Description;Warm and crusty bread. Perfect for a morning snack or a long journey.;Тёплый, хрустящий хлеб. Идеально подходит для утреннего перекуса или долгого похода.;;Warmes, knuspriges Brot. Perfekt für den Morgensnack oder eine lange Wanderung.
Item_Flower_Edible_Name;Flower;Edible;Name;Flower;Цветок;;Blume
Item_Flower_Edible_Description;Flower;Edible;Description;A bright, fragrant wildflower. Makes a lovely gift or decoration.;Яркий и ароматный полевой цветок. Может быть подарком или украшением.;;Eine leuchtende und duftende Wildblume. Kann als Geschenk oder Dekoration verwendet werden.
Item_HealthPotion_Edible_Name;HealthPotion;Edible;Name;Health potion;Зелье здоровья;;Heiltrank
Item_HealthPotion_Edible_Description;HealthPotion;Edible;Description;A vial of healing liquid. Restores energy after a hard day's work.;Пузырёк с целебной жидкостью. Восстанавливает силы после тяжёлого дня.;;Eine Phiole mit heilender Flüssigkeit. Gibt nach einem anstrengenden Tag neue Kraft.
Item_Boots_Equipable_Name;Boots;Equipable;Name;Boots;Сапоги;;Stiefel
Item_Boots_Equipable_Description;Boots;Equipable;Description;Sturdy and comfortable boots. A great fit for farmers and adventurers.;Прочные и удобные сапоги. Отличный выбор для фермеров и путешественников.;;Strapazierfähige und bequeme Stiefel. Eine großartige Wahl für Landwirte und Reisende.
Item_Hat_Equipable_Name;Hat;Equipable;Name;Hat;Шляпа;;Hut
Item_Hat_Equipable_Description;Hat;Equipable;Description;A light hat that shields from the sun. Fashionable and functional.;Лёгкая шляпа, защищающая от солнца. И стильно, и полезно.;;Ein leichter Hut, der vor der Sonne schützt. Stilvoll und praktisch zugleich.
Item_Pants_Equipable_Name;Pants;Equipable;Name;Pants;Штаны;;Hose
Item_Pants_Equipable_Description;Pants;Equipable;Description;Simple work pants. Durable and dirt-resistant.;Простые рабочие штаны. Долговечны и не боятся грязи.;;Einfache Arbeitshose. Strapazierfähig und schmutzabweisend.
Item_Wood_Resource_Name;Wood;Resource;Name;Wood;Бревно;;Protokoll
Item_Wood_Resource_Description;Wood;Resource;Description;Freshly cut log. Useful for crafting and building.;Свежесрубленное бревно. Подходит для обработки и строительства.;;Frisch geschnittener Stamm. Geeignet für die Verarbeitung und den Bau.
Item_WoodBoard_Resource_Name;WoodBoard;Resource;Name;Wood board;Доска;;Planke
Item_WoodBoard_Resource_Description;WoodBoard;Resource;Description;A smooth wooden board. Often used for repairs and furniture.;Гладкая деревянная доска. Часто используется для ремонта и мебели.;;Glattes Holzbrett. Wird oft für Reparaturen und Möbel verwendet.
Item_Stone_Resource_Name;Stone;Resource;Name;Stone;Камень;;Stein
Item_Stone_Resource_Description;Stone;Resource;Description;A common stone found near mountains or rivers. Essential for construction.;Обычный камень, найденный в горах или у реки. Основа для многих построек.;;Ein gewöhnlicher Stein, der in den Bergen oder an Flüssen vorkommt. Die Grundlage für viele Gebäude.
Item_StoneBlock_Resource_Name;StoneBlock;Resource;Name;Stone block;Каменный блок;;Steinblock
Item_StoneBlock_Resource_Description;StoneBlock;Resource;Description;Refined stone ready for building. Solid and heavy.;Обработанный камень, готовый к строительству. Прочный и тяжёлый.;;Bearbeiteter Stein, baufertig. Langlebig und schwer.
Item_Axe_Tool_Name;Axe;Tool;Name;Axe;Топор;;Axt
Item_Axe_Tool_Description;Axe;Tool;Description;A trusty axe for chopping trees and clearing brush.;Надёжный топор для рубки деревьев и кустарника.;;Eine zuverlässige Axt zum Fällen von Bäumen und Sträuchern.
Item_Pickaxe_Tool_Name;Pickaxe;Tool;Name;Pickaxe;Кирка;;Wählen
Item_Pickaxe_Tool_Description;Pickaxe;Tool;Description;A durable pickaxe for mining stone and ore. A miner’s best friend.;Прочная кирка для добычи камня и руды. Любимый инструмент шахтёров.;;Eine robuste Spitzhacke zum Abbau von Steinen und Erzen. Ein beliebtes Werkzeug der Bergleute.
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
Item_Name;;;Name;;;;
Item_Description;;;Description;;;;
